dtime,timestamp,open,high,low,close,vwap,volume,trades,pair
2024-11-23 12:00:00,1732363200,94176.4,94579.1,94163.6,94170.7,94353.2,71.8887984,5024,XXBTZEUR
2024-11-23 16:00:00,1732377600,94170.8,94170.8,93027.1,93160.9,93503.8,181.34621201,7297,XXBTZEUR
2024-11-23 20:00:00,1732392000,93160.9,93633.0,92815.4,93311.2,93178.3,85.6936715,4690,XXBTZEUR
2024-11-24 00:00:00,1732406400,93311.3,94074.0,93243.3,93771.1,93795.9,25.99847715,2119,XXBTZEUR
2024-11-24 04:00:00,1732420800,93771.1,94074.0,93599.8,94074.0,93889.9,16.01248892,2163,XXBTZEUR
2024-11-24 08:00:00,1732435200,94073.9,94074.0,93006.6,93022.1,93536.4,56.15229959,4789,XXBTZEUR
2024-11-24 12:00:00,1732449600,93022.1,93300.0,91532.1,91532.2,92397.7,231.85989858,9522,XXBTZEUR
2024-11-24 16:00:00,1732464000,91532.2,92200.0,91333.0,92056.1,91785.8,218.60865604,7564,XXBTZEUR
2024-11-24 20:00:00,1732478400,92056.0,93736.2,91922.6,93396.0,92869.4,143.16187799,5583,XXBTZEUR
2024-11-25 00:00:00,1732492800,93396.0,93499.9,92487.5,93316.5,93027.0,27.44606082,2002,XXBTZEUR
2024-11-25 04:00:00,1732507200,93316.5,93861.5,93104.3,93800.0,93611.2,78.91087303,4601,XXBTZEUR
2024-11-25 08:00:00,1732521600,93800.0,94289.0,93600.0,93699.9,94095.8,292.74696761,9203,XXBTZEUR
2024-11-25 12:00:00,1732536000,93699.9,93789.0,90014.3,91500.0,91942.3,450.5073478,13538,XXBTZEUR
2024-11-25 16:00:00,1732550400,91500.1,91937.9,89845.2,90096.8,90868.0,210.28948869,8783,XXBTZEUR
2024-11-25 20:00:00,1732564800,90096.8,90755.9,88111.1,88997.3,89340.1,460.20880139,10719,XXBTZEUR
2024-11-26 00:00:00,1732579200,88997.2,90728.0,88675.4,90165.3,89794.8,67.81657244,2533,XXBTZEUR
2024-11-26 04:00:00,1732593600,90165.3,90657.3,89252.4,89510.9,89882.5,61.12817411,4365,XXBTZEUR
2024-11-26 08:00:00,1732608000,89510.9,89510.9,86800.0,87702.5,87952.6,469.18651361,14596,XXBTZEUR
2024-11-26 12:00:00,1732622400,87702.5,89062.6,87079.6,88560.2,88049.0,243.66616569,10260,XXBTZEUR
2024-11-26 16:00:00,1732636800,88560.2,90271.4,87418.2,87526.0,89101.6,182.9634719,8802,XXBTZEUR
2024-11-26 20:00:00,1732651200,87536.1,88000.0,86628.5,87586.8,87210.3,136.97661293,6343,XXBTZEUR
2024-11-27 00:00:00,1732665600,87593.2,88612.1,87430.1,88273.1,88154.9,28.96936529,1886,XXBTZEUR
2024-11-27 04:00:00,1732680000,88273.1,89199.9,88087.2,89189.4,88900.2,155.1595395,4602,XXBTZEUR
2024-11-27 08:00:00,1732694400,89189.4,89225.2,88599.0,88709.5,88949.9,148.06101227,6906,XXBTZEUR
2024-11-27 12:00:00,1732708800,88709.5,90701.0,88205.1,90504.7,89557.1,236.52016204,7696,XXBTZEUR
2024-11-27 16:00:00,1732723200,90504.1,91607.4,90147.8,91607.4,90881.7,358.85739159,7603,XXBTZEUR
2024-11-27 20:00:00,1732737600,91607.3,92139.1,90702.1,90828.1,91423.3,236.88688155,5596,XXBTZEUR
2024-11-28 00:00:00,1732752000,90828.1,91533.7,89950.0,90547.9,90673.8,46.06006008,2303,XXBTZEUR
2024-11-28 04:00:00,1732766400,90530.6,90899.9,90180.0,90461.5,90649.9,43.51479333,3093,XXBTZEUR
2024-11-28 08:00:00,1732780800,90461.6,90795.6,89795.4,90518.4,90275.8,114.0697561,5128,XXBTZEUR
2024-11-28 12:00:00,1732795200,90518.4,91200.0,90000.0,90027.2,90489.5,144.37548892,5447,XXBTZEUR
2024-11-28 16:00:00,1732809600,90034.3,90400.1,89878.1,90101.4,90139.4,63.25149818,4096,XXBTZEUR
2024-11-28 20:00:00,1732824000,90101.4,90900.0,89725.0,90557.5,90298.6,87.44423069,3241,XXBTZEUR
2024-11-29 00:00:00,1732838400,90557.5,91604.7,90298.8,91336.1,91107.7,56.73841209,1691,XXBTZEUR
2024-11-29 04:00:00,1732852800,91332.8,91358.4,90387.2,90398.1,90734.6,44.16227583,3069,XXBTZEUR
2024-11-29 08:00:00,1732867200,90398.1,92226.9,90393.8,92115.4,91385.5,113.49047792,5955,XXBTZEUR
2024-11-29 12:00:00,1732881600,92115.4,93433.2,91658.0,92943.1,92641.0,222.21764981,7468,XXBTZEUR
2024-11-29 16:00:00,1732896000,92945.4,93420.5,91692.0,92070.0,92322.8,167.4488738,5144,XXBTZEUR
2024-11-29 20:00:00,1732910400,92085.9,92267.0,91800.2,92169.3,92115.4,59.2810254,2998,XXBTZEUR
2024-11-30 00:00:00,1732924800,92169.4,92172.0,91122.1,91382.0,91565.0,43.50973757,1878,XXBTZEUR
2024-11-30 04:00:00,1732939200,91382.0,91874.6,91260.0,91485.6,91570.6,44.30620741,2440,XXBTZEUR
2024-11-30 08:00:00,1732953600,91485.6,91671.3,90790.0,90927.1,91084.2,81.73083176,3937,XXBTZEUR
2024-11-30 12:00:00,1732968000,90927.1,91379.3,90900.1,91301.4,91191.8,54.68153909,3286,XXBTZEUR
2024-11-30 16:00:00,1732982400,91301.3,91734.7,91206.0,91702.1,91549.0,29.32630419,2989,XXBTZEUR
2024-11-30 20:00:00,1732996800,91702.2,91737.1,91038.9,91134.5,91337.2,38.31441595,2811,XXBTZEUR
2024-12-01 00:00:00,1733011200,91134.5,91351.3,90531.6,91057.9,90834.0,27.23054007,1625,XXBTZEUR
2024-12-01 04:00:00,1733025600,91063.3,91245.2,90944.9,91162.0,91132.7,8.13817957,1809,XXBTZEUR
2024-12-01 08:00:00,1733040000,91162.0,91964.8,91161.9,91794.8,91593.9,63.22386269,3826,XXBTZEUR
2024-12-01 12:00:00,1733054400,91794.8,92000.0,91406.5,91715.1,91776.6,64.90920059,3417,XXBTZEUR
2024-12-01 16:00:00,1733068800,91715.1,92039.4,91558.6,91737.2,91851.6,64.24480064,4382,XXBTZEUR
2024-12-01 20:00:00,1733083200,91737.1,92566.9,91336.6,92133.0,92024.0,62.04289859,4813,XXBTZEUR
2024-12-02 00:00:00,1733097600,92128.3,93000.0,91597.4,91630.0,92395.8,49.62677499,3195,XXBTZEUR
2024-12-02 04:00:00,1733112000,91630.0,92129.5,91009.8,91356.2,91476.3,55.80153334,4575,XXBTZEUR
2024-12-02 08:00:00,1733126400,91359.2,91371.4,90167.8,90338.4,90565.7,163.4498515,9319,XXBTZEUR
2024-12-02 12:00:00,1733140800,90341.8,92799.9,90206.5,92775.0,91615.9,175.76599943,9274,XXBTZEUR
2024-12-02 16:00:00,1733155200,92758.5,92998.7,90000.0,91250.9,91389.0,158.89902317,7890,XXBTZEUR
2024-12-02 20:00:00,1733169600,91250.9,91721.8,90554.0,91261.7,91261.0,76.27678549,4502,XXBTZEUR
2024-12-03 00:00:00,1733184000,91259.9,91706.4,90909.1,91530.8,91350.5,34.42947953,2452,XXBTZEUR
2024-12-03 04:00:00,1733198400,91520.8,91705.0,90750.0,91001.7,91267.6,24.08271024,3363,XXBTZEUR
